AC_No,Assembly_Name,Candidate_Name,Party_Name,Total_Votes,Rank
330,Demo Nagar,Rahul Verma,BJP,112450,1
330,Demo Nagar,Anita Sharma,SP,98320,2
330,Demo Nagar,Faisal Khan,INC,34210,3
330,Demo Nagar,Meena Kumari,BSP,18930,4
331,Ganga Pur,Suresh Yadav,SP,121340,1
331,Ganga Pur,Vikram Singh,BJP,115780,2
331,Ganga Pur,Pooja Devi,INC,25400,3
331,Ganga Pur,Ramesh Pal,BSP,14250,4
332,Yamuna Nagar,Sunita Rathore,BJP,134560,1
332,Yamuna Nagar,Deepak Chauhan,SP,87640,2
332,Yamuna Nagar,Imran Ali,INC,41230,3
332,Yamuna Nagar,Kavita Joshi,BSP,12890,4
333,Krishna Nagar,Dinesh Gupta,SP,105890,1
333,Krishna Nagar,Sarita Baghel,BJP,103450,2
333,Krishna Nagar,Mohan Lal,INC,22100,3
333,Krishna Nagar,Rekha Devi,BSP,16780,4
333,Krishna Nagar,Tara Chand,IND,4320,5
334,Saraswati Nagar,Ajay Mishra,BJP,142300,1
334,Saraswati Nagar,Geeta Patel,SP,76540,2
334,Saraswati Nagar,Nadeem Siddiqui,INC,31200,3
334,Saraswati Nagar,Laxmi Narayan,BSP,11450,4
335,Ved Nagar,Priya Deshmukh,INC,98760,1
335,Ved Nagar,Karan Thakur,BJP,95430,2
335,Ved Nagar,Abhishek Rao,SP,64320,3
335,Ved Nagar,Shanti Devi,BSP,9870,4
